county & state,2015 Total Population (Esri)
Clackamas Oregon,391877
Columbia Oregon,49300
Marion Oregon,326962
Multnomah Oregon,760589
Polk Oregon,75738
Washington Oregon,557422
Yamhill Oregon,101599
Hood River Oregon,23465
Baker Oregon,16403
Benton Oregon,87491
Clatsop Oregon,37427
Coos Oregon,62481
Crook Oregon,20937
Curry Oregon,21649
Deschutes Oregon,167932
Douglas Oregon,109300
Gilliam Oregon,1921
Grant Oregon,7484
Harney Oregon,7373
Jackson Oregon,209076
Jefferson Oregon,21744
Josephine Oregon,83966
Klamath Oregon,67124
Lake Oregon,7923
Lane Oregon,359332
Lincoln Oregon,46278
Linn Oregon,119690
Malheur Oregon,30967
Morrow Oregon,11749
Sherman Oregon,1757
Tillamook Oregon,24796
Umatilla Oregon,77773
Union Oregon,26285
Wallowa Oregon,7104
Wasco Oregon,25676
Wheeler Oregon,1436
Tallapoosa Alabama,42267
Randolph Alabama,22899
Wilcox Alabama,11741
Autauga Alabama,55734
Coosa Alabama,10858
Clay Alabama,14134
Walker Alabama,67245
Bibb Alabama,23107
Pickens Alabama,21382
Escambia Alabama,38792
Dallas Alabama,42734
Butler Alabama,20804
Coffee Alabama,52466
Talladega Alabama,84924
Jefferson Alabama,668509
St. Clair Alabama,84053
Houston Alabama,104230
Barbour Alabama,27600
Russell Alabama,58365
Blount Alabama,57736
Dale Alabama,50911
Choctaw Alabama,13741
Calhoun Alabama,117518
Chilton Alabama,45232
Montgomery Alabama,232305
Etowah Alabama,103718
Winston Alabama,24576
Monroe Alabama,22776
Crenshaw Alabama,14303
Cullman Alabama,82137
Macon Alabama,20752
Lee Alabama,159932
Washington Alabama,18628
Pike Alabama,33488
Elmore Alabama,82767
Conecuh Alabama,13131
Bullock Alabama,10880
Perry Alabama,10103
Marion Alabama,30970
Covington Alabama,38396
Fayette Alabama,17202
Geneva Alabama,27090
Tuscaloosa Alabama,205380
Greene Alabama,8895
Lamar Alabama,14467
Lowndes Alabama,11067
Chambers Alabama,33354
Cleburne Alabama,15132
Clarke Alabama,25693
Hale Alabama,15561
Mobile Alabama,415455
Baldwin Alabama,199639
Marengo Alabama,20680
Henry Alabama,17250
Sumter Alabama,14154
Shelby Alabama,204225
Colbert Alabama,54709
Franklin Alabama,31686
Cherokee Alabama,26577
DeKalb Alabama,71833
Madison Alabama,355117
Lawrence Alabama,34318
Jackson Alabama,53965
Morgan Alabama,119806
Limestone Alabama,89967
Marshall Alabama,95062
Lauderdale Alabama,94688
Denali Alaska,1842
Anchorage Alaska,301118
Kenai Peninsula Alaska,59977
Southeast Fairbanks Alaska,6963
Yukon-Koyukuk Alaska,5927
Fairbanks North Star Alaska,103197
Matanuska-Susitna Alaska,97117
Aleutians East Alaska,4071
Kodiak Island Alaska,13996
North Slope Alaska,11707
Valdez-Cordova Alaska,9731
Bristol Bay Alaska,964
Nome Alaska,14461
Wade Hampton Alaska,8729
Bethel Alaska,17202
Lake and Peninsula Alaska,1659
Northwest Arctic Alaska,7634
Dillingham Alaska,5493
Skagway Alaska,981
Hoonah-Angoon Alaska,2172
Petersburg Alaska,3115
Haines Alaska,2680
Juneau Alaska,33074
Prince of Wales-Hyder Alaska,5964
Aleutians West Alaska,4960
Ketchikan Gateway Alaska,13712
Sitka Alaska,9458
Wrangell Alaska,2362
Yakutat Alaska,649
Apache Arizona,71877
Cochise Arizona,131464
Coconino Arizona,138106
Gila Arizona,54366
Graham Arizona,39180
Greenlee Arizona,9571
La Paz Arizona,20063
Maricopa Arizona,4047801
Mohave Arizona,196268
Navajo Arizona,108603
Pima Arizona,1007707
Pinal Arizona,408405
Santa Cruz Arizona,46426
Yavapai Arizona,220671
Yuma Arizona,206059
Polk Arkansas,20570
Washington Arkansas,218590
Howard Arkansas,13923
Scott Arkansas,10946
Benton Arkansas,245991
Nevada Arkansas,8865
Hempstead Arkansas,22797
Miller Arkansas,43132
Madison Arkansas,16397
Sevier Arkansas,17734
Little River Arkansas,12828
Crawford Arkansas,65170
Carroll Arkansas,27988
Sebastian Arkansas,128118
Logan Arkansas,22569
Franklin Arkansas,18403
Hot Spring Arkansas,33418
Jackson Arkansas,18132
Dallas Arkansas,7855
Cleveland Arkansas,8560
Johnson Arkansas,26704
Columbia Arkansas,24636
Lawrence Arkansas,17465
Cross Arkansas,17539
Calhoun Arkansas,5392
Fulton Arkansas,12350
Perry Arkansas,10335
Conway Arkansas,21297
Montgomery Arkansas,9515
Van Buren Arkansas,17489
Cleburne Arkansas,26411
Marion Arkansas,17232
Sharp Arkansas,17531
Pope Arkansas,63305
Lee Arkansas,10158
Mississippi Arkansas,45287
Chicot Arkansas,11325
Poinsett Arkansas,24374
Independence Arkansas,37826
Stone Arkansas,13109
Union Arkansas,39670
Ashley Arkansas,21574
Crittenden Arkansas,49674
Greene Arkansas,44076
Bradley Arkansas,11322
Newton Arkansas,8398
Ouachita Arkansas,26434
Craighead Arkansas,103649
Izard Arkansas,13551
Grant Arkansas,18311
Searcy Arkansas,8106
Faulkner Arkansas,123075
Jefferson Arkansas,73736
Randolph Arkansas,17581
Lincoln Arkansas,14452
Monroe Arkansas,7827
Boone Arkansas,37934
Garland Arkansas,98992
St. Francis Arkansas,28213
Yell Arkansas,22482
Baxter Arkansas,40722
Clark Arkansas,22963
Arkansas Arkansas,18862
White Arkansas,80598
