county & state,2015 Capacity Onshore Wind (GW)
"anchorage, alaska",18
"denali, alaska",24.6
"kodiak island, alaska",9
"nome, alaska",1.8
"northwest arctic, alaska",4.7
"southeast fairbanks, alaska",1.9
"cochise, arizona",30
"coconino, arizona",99.2
"mohave, arizona",10
"navajo, arizona",128.1
"alameda, california",412.6
"contra costa, california",116.2
"imperial, california",265.4
"kern, california",3317.7
"merced, california",17
"monterey, california",2
"riverside, california",778.7
"san bernardino, california",7.2
"san diego, california",51
"san joaquin, california",24.9
"shasta, california",101.2
"solano, california",1029.2
"tehama, california",1
"yolo, california",1
"bent, colorado",75
"huerfano, colorado",19
"jefferson, colorado",8.8
"kit carson, colorado",51
"lincoln, colorado",843.6
"logan, colorado",818.1
"prowers, colorado",167.5
"pueblo, colorado",1.8
"weld, colorado",559.1
"sussex, delaware",2
"hawaii, hawaii",43
"honolulu, hawaii",99
"maui, hawaii",75
"adair, iowa",287
"bremer, iowa",38.7
"buena vista, iowa",365.1
"carroll, iowa",269
"cass, iowa",445.5
"cedar, iowa",4.5
"cerro gordo, iowa",42
"crawford, iowa",100
"delaware, iowa",40.8
"dickinson, iowa",154
"emmet, iowa",1
"floyd, iowa",75
"franklin, iowa",298.7
"greene, iowa",72.7
"grundy, iowa",140.8
"guthrie, iowa",200
"hamilton, iowa",200
"hancock, iowa",448
"hardin, iowa",150
"henry, iowa",1.5
"howard, iowa",29
"kossuth, iowa",12.8
"linn, iowa",0.7
"madison, iowa",119.6
"marshall, iowa",269.8
"mitchell, iowa",302
"o'brien, iowa",15.5
"osceola, iowa",155.4
"palo alto, iowa",21
"pocahontas, iowa",366.4
"pottawattamie, iowa",153
"story, iowa",151.5
"tama, iowa",1.5
"webster, iowa",251
"winnebago, iowa",86
"winneshiek, iowa",1.6
"worth, iowa",326.6
"bonneville, idaho",362.4
"cassia, idaho",45
"elmore, idaho",224.9
"gooding, idaho",27.3
"power, idaho",124.2
"twin falls, idaho",178.9
"brown, illinois",1.5
"bureau, illinois",373.4
"dekalb, illinois",217.5
"henry, illinois",284
"iroquois, illinois",300.8
"lasalle, illinois",210
"lee, illinois",244.9
"livingston, illinois",602
"mclean, illinois",547.7
"pike, illinois",1.7
"stark, illinois",150
"stephenson, illinois",100.5
"tazewell, illinois",100.5
"vermilion, illinois",298
"woodford, illinois",192.3
"benton, indiana",836.8
"randolph, indiana",202
"tippecanoe, indiana",20
"tipton, indiana",200
"white, indiana",500.9
"barber, kansas",100
"butler, kansas",150
"cloud, kansas",201
"elk, kansas",200
"ellis, kansas",201.7
"ellsworth, kansas",201
"ford, kansas",424.4
"gray, kansas",507.5
"harper, kansas",470.4
"haskell, kansas",249.8
"kiowa, kansas",116.5
"lincoln, kansas",249.3
"pottawatomie, kansas",1.6
"wichita, kansas",99
"barnstable, massachusetts",11.2
"berkshire, massachusetts",43.5
"bristol, massachusetts",5
"essex, massachusetts",3.6
"plymouth, massachusetts",6.8
"suffolk, massachusetts",2.7
"worcester, massachusetts",10.1
"garrett, maryland",160
"aroostook, maine",42
"franklin, maine",132
"hancock, maine",34.5
"knox, maine",4.5
"oxford, maine",70.6
"penobscot, maine",60
"waldo, maine",4.5
"washington, maine",82.5
"cheboygan, michigan",1.8
"delta, michigan",28
"gratiot, michigan",344.4
"huron, michigan",540.8
"mason, michigan",22
"missaukee, michigan",59
"sanilac, michigan",122
"tuscola, michigan",242.1
"clay, minnesota",53.3
"cottonwood, minnesota",86.8
"dakota, minnesota",2.5
"dodge, minnesota",43
"faribault, minnesota",38.6
"freeborn, minnesota",201.3
"grant, minnesota",20
"jackson, minnesota",338.9
"kandiyohi, minnesota",24
"lincoln, minnesota",369.4
"lyon, minnesota",18.9
"martin, minnesota",256.6
"meeker, minnesota",20
"mower, minnesota",338.8
"murray, minnesota",329.4
"nobles, minnesota",73.1
"pipestone, minnesota",273.3
"redwood, minnesota",3.4
"rice, minnesota",4.8
"rock, minnesota",215.4
"st louis, minnesota",25
"steele, minnesota",44
"stevens, minnesota",1
"winona, minnesota",6.3
"atchison, missouri",201.4
"dekalb, missouri",150
"gentry, missouri",56.7
"nodaway, missouri",50.4
"cascade, montana",9
"fallon, montana",30
"judith basin, montana",40
"meagher, montana",9.6
"teton, montana",10
"toole, montana",388.8
"wheatland, montana",149.3
"barnes, north dakota",258.9
"bowman, north dakota",19.5
"burleigh, north dakota",201.4
"cavalier, north dakota",240
"dickey, north dakota",180
